date,KOR_date_index,KOR_d_l_cum_cases,GER_date_index,GER_d_l_cum_cases,ESP_date_index,ESP_d_l_cum_cases,NL_date_index,NL_d_l_cum_cases,UK_date_index,UK_d_l_cum_cases,SWE_date_index,SWE_d_l_cum_cases,FRA_date_index,FRA_d_l_cum_cases,IRN_date_index,IRN_d_l_cum_cases,ITA_date_index,ITA_d_l_cum_cases,USA_date_index,USA_d_l_cum_cases
2020-03-03,14,0.14262465315548312,9,0.16052689696653388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.2847023559785145,NA,NA
2020-03-04,15,0.10138979447103935,10,0.20992092317889544,1,0.32016752759626943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-0.6808639820658877,NA,NA
2020-03-05,16,0.08213502847583065,11,0.17737158434962375,2,0.19592720884973325,1,0.755278961666952,1,0.2015932047526663,1,0.3914788661334243,1,0.97641812984675,NA,NA,6,0.951338123639557,NA,NA
2020-03-06,17,0.07494204147888794,12,0.21874698940137982,3,0.4566833246023654,2,0.6083239882508682,2,0.24854434340709108,2,0.6499750086947369,2,-0.11216225709564931,2,1.5298150641138504,7,-0.7693704865095343,1,-0.5133540701193491
2020-03-07,18,0.06837638142161317,13,0.21262906250960079,4,0.1773161834548853,3,0.4658968472930818,3,0.1302898987003509,3,0.20533892668070308,3,0.9507064935566181,3,-0.3209722478063046,8,1.1525863523622792,2,1.254569653720317
2020-03-08,19,0.04880434062376082,14,0.22943068344554263,5,0.3159525063900359,4,0.43918374410746264,4,0.13282091302092436,4,0.21472498084861336,4,-0.4536247371616957,4,0.007960706990455257,9,-0.41402596314263196,NA,NA
2020-03-09,20,0.032497106874284754,15,0.28377472726286257,6,0.5405197302732088,5,0.35188897362279103,5,0.2764249179271463,5,0.3908663086870119,5,-2.0404985677312286,5,-0.046297936529403394,10,0.9498032015247473,3,0.5497685977145981
2020-03-10,21,0.020375603033016887,16,0.2744871800054369,7,0.4930118848992411,6,0.30753957093785633,6,0.34318817858664996,6,0.2502245099168805,6,2.585045221464675,6,0.6130841176881994,11,-1.272918945749093,4,-0.23889190828234863
2020-03-11,22,0.029544442031337326,17,0.2618491861519381,8,0.2746599382613102,7,0.2979175763458075,7,0.37786779009037197,7,0.3594700162704294,7,0.3959963366793122,7,0.3091488653665291,12,0.6338906353502738,5,0.5512665933245007
2020-03-12,23,0.014772848677530703,18,0.2305092268272695,9,0.3287394995805393,8,0.2724185169669333,8,0.3166171833112328,8,0.22775103775688255,8,0.44530000531919356,8,0.13311852574393868,13,-0.2472940115464919,6,-0.09759938339845853
2020-03-13,24,0.013035328346848729,19,0.22566018968891655,10,0.3551823050836802,9,0.27017808083294614,9,0.2247465439096663,9,0.2040083108839683,9,0.22287263425832382,9,0.1733258231633652,14,0.6741180635513437,7,0.8663234045317081
2020-03-14,25,0.01136232398257242,20,0.18386645182829753,11,0.3124732149185192,10,0.25144595098520206,10,0.15270046394892756,10,0.08508718936495896,10,-0.25172739545588474,10,0.03360124922595986,15,1.2084924036419373,8,0.004231318019762398
2020-03-15,26,0.013590384349267737,21,0.16055503431259588,12,0.2980385858913248,11,0.2320793422425691,11,0.1617165912118539,11,0.0793906046181494,11,0.5497424588971453,11,-0.6261748752419845,16,-0.17627633179922064,9,0.7348414194764645
2020-03-16,27,0.008508590699447538,22,0.18354494818705902,13,0.17023573883239962,12,0.2294013029435895,12,0.1891210001828787,12,0.08079509654357953,12,0.18882578964070618,12,0.0432705072654862,17,-0.24735004090589285,10,0.17424538266248746
2020-03-17,28,0.013416471522223361,23,0.1402296269729444,14,0.19616781404834605,13,0.2207905748767498,13,0.19387125207322775,13,0.11255479129185364,13,-0.558728082595283,13,0.677925426894852,18,0.43186627738411865,11,0.17986129817221297
