date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,travel_ban_intl_out,work_from_home,testing_regime,home_isolation,religious_closure,cum_confirmed_cases,cum_confirmed_cases_imputed,population,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,testing_change_irn_13mar2020,sample_avg,day_avg,travel_ban_local_opt_natl,school_closure_natl,p_irn_1,p_irn_2
"2020-03-15","IRN","Golestan",1,1,1,1,1,1,1,0,259,259,1868819,15mar2020,0,3,2020,15,"Golestan",0,25,3.218876,,0,.8196025,,1,0,.6666667,1
"2020-03-16","IRN","Golestan",1,1,1,1,1,1,1,0,301,301,1868819,16mar2020,1,3,2020,16,"Golestan",0,42,3.73767,.5187938,0,,,1,0,.6666667,1
"2020-03-17","IRN","Golestan",1,1,1,1,1,1,1,0,331,331,1868819,17mar2020,2,3,2020,17,"Golestan",0,30,3.401197,,0,.8196025,,1,0,.6666667,1
"2020-03-18","IRN","Golestan",1,1,1,1,1,1,1,0,351,351,1868819,18mar2020,3,3,2020,18,"Golestan",0,20,2.995732,,0,.8196025,,1,0,.6666667,1
"2020-03-19","IRN","Golestan",1,1,1,1,1,1,1,0,360,360,1868819,19mar2020,4,3,2020,19,"Golestan",0,9,2.197225,,0,.8196025,,1,0,.6666667,1
"2020-03-20","IRN","Golestan",1,1,1,1,1,1,1,0,375,375,1868819,20mar2020,5,3,2020,20,"Golestan",0,15,2.70805,.5108256,0,,,1,0,.6666667,1
"2020-03-21","IRN","Golestan",1,1,1,1,1,1,1,0,381,381,1868819,21mar2020,6,3,2020,21,"Golestan",0,6,1.791759,,0,.8196025,,1,0,.6666667,1
"2020-03-22","IRN","Golestan",1,1,1,1,1,1,1,0,391,391,1868819,22mar2020,0,3,2020,22,"Golestan",0,10,2.302585,.5108256,0,,,1,0,.6666667,1
"2020-02-27","IRN","Hamadan",1,0,1,1,0,0,0,0,,2,1738234,27feb2020,4,2,2020,27,"Hamadan",0,,,,0,.8196025,,0,0,0,0
"2020-02-28","IRN","Hamadan",1,0,1,1,0,0,0,0,,2,1738234,28feb2020,5,2,2020,28,"Hamadan",0,,,,0,.8196025,,0,0,0,0
"2020-02-29","IRN","Hamadan",1,0,1,1,0,0,0,0,,2,1738234,29feb2020,6,2,2020,29,"Hamadan",0,,,,0,.8196025,,0,0,0,0
"2020-03-01","IRN","Hamadan",1,1,1,1,0,0,0,0,,5,1738234,01mar2020,0,3,2020,1,"Hamadan",0,,,,0,.8196025,,1,0,.3333333,0
"2020-03-02","IRN","Hamadan",1,1,1,1,0,0,0,0,,9,1738234,02mar2020,1,3,2020,2,"Hamadan",0,,,,0,.8196025,,1,0,.3333333,0
"2020-03-03","IRN","Hamadan",1,1,1,1,1,0,0,0,,15,1738234,03mar2020,2,3,2020,3,"Hamadan",0,,,,0,.8196025,,1,0,.6666667,0
"2020-03-04","IRN","Hamadan",1,1,1,1,1,0,0,0,,15,1738234,04mar2020,3,3,2020,4,"Hamadan",0,,,,0,.8196025,,1,0,.6666667,0
"2020-03-05","IRN","Hamadan",1,1,1,1,1,0,0,0,11,21,1738234,05mar2020,4,3,2020,5,"Hamadan",0,,,,0,.8196025,,1,0,.6666667,0
"2020-03-06","IRN","Hamadan",1,1,1,1,1,0,0,0,18,28,1738234,06mar2020,5,3,2020,6,"Hamadan",0,7,1.94591,,0,.8196025,,1,0,.6666667,0
"2020-03-07","IRN","Hamadan",1,1,1,1,1,0,0,0,29,39,1738234,07mar2020,6,3,2020,7,"Hamadan",0,11,2.397895,.4519852,0,,,1,0,.6666667,0
"2020-03-08","IRN","Hamadan",1,1,1,1,1,0,0,0,55,65,1738234,08mar2020,0,3,2020,8,"Hamadan",0,26,3.258096,.8602011,0,,,1,0,.6666667,0
"2020-03-09","IRN","Hamadan",1,1,1,1,1,0,0,0,55,65,1738234,09mar2020,1,3,2020,9,"Hamadan",0,0,,,0,.8196025,,1,0,.6666667,0
"2020-03-10","IRN","Hamadan",1,1,1,1,1,0,0,0,72,82,1738234,10mar2020,2,3,2020,10,"Hamadan",0,17,2.833213,,0,.8196025,,1,0,.6666667,0
"2020-03-11","IRN","Hamadan",1,1,1,1,1,0,0,0,79,89,1738234,11mar2020,3,3,2020,11,"Hamadan",0,7,1.94591,,0,.8196025,,1,0,.6666667,0
"2020-03-12","IRN","Hamadan",1,1,1,1,1,0,0,0,91,101,1738234,12mar2020,4,3,2020,12,"Hamadan",0,12,2.484907,.5389966,0,,,1,0,.6666667,0
"2020-03-13","IRN","Hamadan",1,1,1,1,1,1,1,0,101,111,1738234,13mar2020,5,3,2020,13,"Hamadan",0,10,2.302585,,1,.8196025,,1,0,.6666667,1
"2020-03-14","IRN","Hamadan",1,1,1,1,1,1,1,0,108,118,1738234,14mar2020,6,3,2020,14,"Hamadan",0,7,1.94591,,0,.8196025,,1,0,.6666667,1
"2020-03-15","IRN","Hamadan",1,1,1,1,1,1,1,0,119,129,1738234,15mar2020,0,3,2020,15,"Hamadan",0,11,2.397895,.4519852,0,,,1,0,.6666667,1
