date,adm0_name,adm1_name,adm2_name,lat,lon,cum_confirmed_cases,cum_confirmed_cases_imputed,population,travel_ban_intl_out,travel_ban_local,business_closure,social_distance,school_closure,no_gathering,transit_suspension,work_from_home,testing_regime,pos_cases_quarantine,home_isolation,travel_ban_intl_in,travel_ban_local_popwt,business_closure_popwt,social_distance_popwt,school_closure_popwt,no_gathering_popwt,transit_suspension_popwt,work_from_home_popwt,pos_cases_quarantine_popwt,home_isolation_popwt,social_distance_opt,social_distance_opt_popwt,work_from_home_opt,work_from_home_opt_popwt,policies_enacted,t,dow,month,year,day,adm1_id,adm2_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,sample_avg,day_avg,social_distance_comb_popwt,work_from_home_comb_popwt,p_ita_1,p_ita_2,p_ita_3,p_ita_4,p_ita_5
"2020-03-23","ITA","Sicilia","Agrigento",37.30971,13.58457,45,45,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,23mar2020,1,3,2020,23,"Sicilia","Agrigento",0,4,1.386294,,,,1,1,1,1,.5,1,.67
"2020-03-24","ITA","Sicilia","Agrigento",37.30971,13.58457,47,47,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,24mar2020,2,3,2020,24,"Sicilia","Agrigento",0,2,.6931472,,,,1,1,1,1,.5,1,.67
"2020-03-25","ITA","Sicilia","Agrigento",37.30971,13.58457,50,50,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,25mar2020,3,3,2020,25,"Sicilia","Agrigento",0,3,1.098612,.4054651,,,1,1,1,1,.5,1,.67
"2020-03-26","ITA","Sicilia","Agrigento",37.30971,13.58457,55,55,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,26mar2020,4,3,2020,26,"Sicilia","Agrigento",0,5,1.609438,.5108256,,,1,1,1,1,.5,1,.67
"2020-03-27","ITA","Sicilia","Agrigento",37.30971,13.58457,58,58,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,27mar2020,5,3,2020,27,"Sicilia","Agrigento",0,3,1.098612,,,,1,1,1,1,.5,1,.67
"2020-03-28","ITA","Sicilia","Agrigento",37.30971,13.58457,58,58,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,28mar2020,6,3,2020,28,"Sicilia","Agrigento",0,0,,,,,1,1,1,1,.5,1,.67
"2020-03-29","ITA","Sicilia","Agrigento",37.30971,13.58457,78,78,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,29mar2020,0,3,2020,29,"Sicilia","Agrigento",0,20,2.995732,,,,1,1,1,1,.5,1,.67
"2020-03-30","ITA","Sicilia","Agrigento",37.30971,13.58457,89,89,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,30mar2020,1,3,2020,30,"Sicilia","Agrigento",0,11,2.397895,,,,1,1,1,1,.5,1,.67
"2020-03-31","ITA","Sicilia","Agrigento",37.30971,13.58457,94,94,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,31mar2020,2,3,2020,31,"Sicilia","Agrigento",0,5,1.609438,,,,1,1,1,1,.5,1,.67
"2020-04-01","ITA","Sicilia","Agrigento",37.30971,13.58457,96,96,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,01apr2020,3,4,2020,1,"Sicilia","Agrigento",0,2,.6931472,,,,1,1,1,1,.5,1,.67
"2020-04-02","ITA","Sicilia","Agrigento",37.30971,13.58457,98,98,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,02apr2020,4,4,2020,2,"Sicilia","Agrigento",0,2,.6931472,0,,,1,1,1,1,.5,1,.67
"2020-04-03","ITA","Sicilia","Agrigento",37.30971,13.58457,100,100,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,03apr2020,5,4,2020,3,"Sicilia","Agrigento",0,2,.6931472,0,,,1,1,1,1,.5,1,.67
"2020-04-04","ITA","Sicilia","Agrigento",37.30971,13.58457,102,102,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,04apr2020,6,4,2020,4,"Sicilia","Agrigento",0,2,.6931472,0,,,1,1,1,1,.5,1,.67
"2020-04-05","ITA","Sicilia","Agrigento",37.30971,13.58457,107,107,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,05apr2020,0,4,2020,5,"Sicilia","Agrigento",0,5,1.609438,.9162908,,,1,1,1,1,.5,1,.67
"2020-04-06","ITA","Sicilia","Agrigento",37.30971,13.58457,109,109,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,06apr2020,1,4,2020,6,"Sicilia","Agrigento",0,2,.6931472,,,,1,1,1,1,.5,1,.67
"2020-02-26","ITA","Piemonte","Alessandria",44.91298,8.615401,,0,421284,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26feb2020,3,2,2020,26,"Piemonte","Alessandria",0,,,,,,0,0,0,0,0,0,0
"2020-02-27","ITA","Piemonte","Alessandria",44.91298,8.615401,,0,421284,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27feb2020,4,2,2020,27,"Piemonte","Alessandria",0,,,,,,0,0,0,0,0,0,0
"2020-02-28","ITA","Piemonte","Alessandria",44.91298,8.615401,,0,421284,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28feb2020,5,2,2020,28,"Piemonte","Alessandria",0,,,,,,0,0,0,0,0,0,0
"2020-02-29","ITA","Piemonte","Alessandria",44.91298,8.615401,,0,421284,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29feb2020,6,2,2020,29,"Piemonte","Alessandria",0,,,,,,0,0,0,0,0,0,0
"2020-03-01","ITA","Piemonte","Alessandria",44.91298,8.615401,,0,421284,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,01mar2020,0,3,2020,1,"Piemonte","Alessandria",0,,,,,,0,0,0,0,0,0,0
"2020-03-02","ITA","Piemonte","Alessandria",44.91298,8.615401,,0,421284,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,02mar2020,1,3,2020,2,"Piemonte","Alessandria",0,,,,,,0,0,0,0,0,0,0
"2020-03-03","ITA","Piemonte","Alessandria",44.91298,8.615401,,1,421284,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,03mar2020,2,3,2020,3,"Piemonte","Alessandria",0,,,,,,0,0,0,0,0,0,0
