totalt_antal_fall,adm1_name,case_count,date,cum_confirmed_cases,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,travel_ban_local,travel_ban_intl_in,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,sample_avg,day_avg,p_swe_1,p_swe_2,p_swe_3,p_swe_4,p_swe_5,p_swe_6
30,"Dalarna",0,"2020-03-04",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",04mar2020,3,3,2020,4,"Dalarna",0,,,,,,0,0,0,0,0,0
25,"Dalarna",0,"2020-03-05",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",05mar2020,4,3,2020,5,"Dalarna",0,,,,,,0,0,0,0,0,0
59,"Dalarna",0,"2020-03-06",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",06mar2020,5,3,2020,6,"Dalarna",0,,,,,,0,0,0,0,0,0
33,"Dalarna",0,"2020-03-07",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",07mar2020,6,3,2020,7,"Dalarna",0,,,,,,0,0,0,0,0,0
46,"Dalarna",0,"2020-03-08",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",08mar2020,0,3,2020,8,"Dalarna",0,,,,,,0,0,0,0,0,0
101,"Dalarna",0,"2020-03-09",,0,0,0,0,0,0,0,0,0,0,2,1,2,"0","0","0","0","0","0",09mar2020,1,3,2020,9,"Dalarna",0,,,,,,0,0,0,0,0,0
98,"Dalarna",0,"2020-03-10",,0,0,0,0,0,0,0,0,0,0,2,1,2,"0","0","0","0","0","0",10mar2020,2,3,2020,10,"Dalarna",0,,,,,,0,0,0,0,0,0
196,"Dalarna",1,"2020-03-11",,0,0,0,0,0,0,0,0,2,0,2,1,2,"0","0","0","0","0","0",11mar2020,3,3,2020,11,"Dalarna",0,,,,,,0,0,0,0,0,0
151,"Dalarna",3,"2020-03-12",,0,0,0,2,0,0,0,0,2,0,2,1,2,"0","0","0","1","0","0",12mar2020,4,3,2020,12,"Dalarna",0,,,,,,0,0,0,1,0,0
152,"Dalarna",1,"2020-03-13",,0,0,0,2,0,0,0,0,2,0,2,1,2,"0","0","0","1","0","0",13mar2020,5,3,2020,13,"Dalarna",0,,,,,,0,0,0,1,0,0
71,"Dalarna",0,"2020-03-14",,0,0,0,2,0,0,0,0,2,0,2,1,2,"0","0","0","1","0","0",14mar2020,6,3,2020,14,"Dalarna",0,,,,,,0,0,0,1,0,0
69,"Dalarna",0,"2020-03-15",,0,0,0,2,0,0,0,0,2,0,2,1,2,"0","0","0","1","0","0",15mar2020,0,3,2020,15,"Dalarna",0,,,,,,0,0,0,1,0,0
83,"Dalarna",0,"2020-03-16",,0,0,0,2,0,0,0,0,2,1,2,1,2,"0","0","0","1","0","0",16mar2020,1,3,2020,16,"Dalarna",0,,,,,,0,0,0,1,0,0
119,"Dalarna",3,"2020-03-17",,0,0,0,2,0,0,0,0,2,1,2,1,2,"0","0","0","1","0","0",17mar2020,2,3,2020,17,"Dalarna",0,,,,,,0,0,0,1,0,0
145,"Dalarna",2,"2020-03-18",10,1,0,0,2,0,0,0,0,2,1,2,1,2,"1","0","0","1","0","0",18mar2020,3,3,2020,18,"Dalarna",0,,,,,,1,0,0,1,0,0
143,"Dalarna",2,"2020-03-19",12,1,0,0,2,0,0,0,3,2,1,2,1,2,"1","0","0","1","0","1",19mar2020,4,3,2020,19,"Dalarna",0,2,.6931472,,,,1,0,0,1,0,1
180,"Dalarna",5,"2020-03-20",17,1,0,0,2,0,0,0,3,2,1,2,1,2,"1","0","0","1","0","1",20mar2020,5,3,2020,20,"Dalarna",0,5,1.609438,.9162908,,,1,0,0,1,0,1
134,"Dalarna",0,"2020-03-21",17,1,0,0,2,0,0,0,3,2,1,2,1,2,"1","0","0","1","0","1",21mar2020,6,3,2020,21,"Dalarna",0,0,,,,,1,0,0,1,0,1
118,"Dalarna",5,"2020-03-22",22,1,0,0,2,0,0,0,3,2,1,2,1,2,"1","0","0","1","0","1",22mar2020,0,3,2020,22,"Dalarna",0,5,1.609438,,,,1,0,0,1,0,1
182,"Dalarna",9,"2020-03-23",31,1,0,0,2,0,0,0,3,2,1,2,1,1,"1","0","0","1","0","1",23mar2020,1,3,2020,23,"Dalarna",0,9,2.197225,.5877867,,,1,0,0,1,0,1
230,"Dalarna",9,"2020-03-24",40,1,0,0,2,0,0,0,3,2,1,2,1,1,"1","0","0","1","0","1",24mar2020,2,3,2020,24,"Dalarna",0,9,2.197225,0,,,1,0,0,1,0,1
314,"Dalarna",13,"2020-03-25",53,1,1,0,2,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",25mar2020,3,3,2020,25,"Dalarna",0,13,2.564949,.3677247,,,1,1,0,1,0,1
286,"Dalarna",8,"2020-03-26",61,1,1,0,2,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",26mar2020,4,3,2020,26,"Dalarna",0,8,2.079442,,,,1,1,0,1,0,1
365,"Dalarna",15,"2020-03-27",76,1,1,0,2,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",27mar2020,5,3,2020,27,"Dalarna",0,15,2.70805,.6286087,,,1,1,0,1,0,1
300,"Dalarna",6,"2020-03-28",82,1,1,0,2,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",28mar2020,6,3,2020,28,"Dalarna",0,6,1.791759,,,,1,1,0,1,0,1
280,"Dalarna",10,"2020-03-29",92,1,1,0,3,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",29mar2020,0,3,2020,29,"Dalarna",0,10,2.302585,.5108256,,,1,1,0,1,0,1
416,"Dalarna",9,"2020-03-30",101,1,1,0,3,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",30mar2020,1,3,2020,30,"Dalarna",0,9,2.197225,,,,1,1,0,1,0,1
475,"Dalarna",23,"2020-03-31",124,1,1,0,3,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",31mar2020,2,3,2020,31,"Dalarna",0,23,3.135494,.9382696,,,1,1,0,1,0,1
486,"Dalarna",19,"2020-04-01",143,1,1,1,3,0,0,0,3,2,1,2,1,1,"1","1","1","1","0","1",01apr2020,3,4,2020,1,"Dalarna",0,19,2.944439,,,,1,1,1,1,0,1
554,"Dalarna",6,"2020-04-02",149,1,1,1,3,0,0,0,3,2,1,2,1,1,"1","1","1","1","0","1",02apr2020,4,4,2020,2,"Dalarna",0,6,1.791759,,,,1,1,1,1,0,1
601,"Dalarna",20,"2020-04-03",169,1,1,1,3,0,0,0,3,2,1,2,1,1,"1","1","1","1","0","1",03apr2020,5,4,2020,3,"Dalarna",0,20,2.995732,1.203973,,,1,1,1,1,0,1
357,"Dalarna",18,"2020-04-04",187,1,1,1,3,0,0,1,3,2,1,2,1,1,"1","1","1","1","1","1",04apr2020,6,4,2020,4,"Dalarna",0,18,2.890372,,,,1,1,1,1,1,1
340,"Dalarna",7,"2020-04-05",194,1,1,1,3,0,0,1,3,2,1,2,1,1,"1","1","1","1","1","1",05apr2020,0,4,2020,5,"Dalarna",0,7,1.94591,,,,1,1,1,1,1,1
389,"Dalarna",16,"2020-04-06",210,1,1,1,3,0,0,1,3,2,1,2,1,1,"1","1","1","1","1","1",06apr2020,1,4,2020,6,"Dalarna",0,16,2.772589,.8266786,,,1,1,1,1,1,1
30,"Gotland",0,"2020-03-04",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",04mar2020,3,3,2020,4,"Gotland",0,,,,,,0,0,0,0,0,0
25,"Gotland",0,"2020-03-05",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",05mar2020,4,3,2020,5,"Gotland",0,,,,,,0,0,0,0,0,0
59,"Gotland",0,"2020-03-06",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",06mar2020,5,3,2020,6,"Gotland",0,,,,,,0,0,0,0,0,0
33,"Gotland",0,"2020-03-07",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",07mar2020,6,3,2020,7,"Gotland",0,,,,,,0,0,0,0,0,0
46,"Gotland",0,"2020-03-08",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",08mar2020,0,3,2020,8,"Gotland",0,,,,,,0,0,0,0,0,0
101,"Gotland",0,"2020-03-09",,0,0,0,0,0,0,0,0,0,0,2,1,2,"0","0","0","0","0","0",09mar2020,1,3,2020,9,"Gotland",0,,,,,,0,0,0,0,0,0
98,"Gotland",0,"2020-03-10",,0,0,0,0,0,0,0,0,0,0,2,1,2,"0","0","0","0","0","0",10mar2020,2,3,2020,10,"Gotland",0,,,,,,0,0,0,0,0,0
196,"Gotland",2,"2020-03-11",,0,0,0,0,0,0,0,0,2,0,2,1,2,"0","0","0","0","0","0",11mar2020,3,3,2020,11,"Gotland",0,,,,,,0,0,0,0,0,0
151,"Gotland",0,"2020-03-12",,0,0,0,2,0,0,0,0,2,0,2,1,2,"0","0","0","1","0","0",12mar2020,4,3,2020,12,"Gotland",0,,,,,,0,0,0,1,0,0
152,"Gotland",0,"2020-03-13",,0,0,0,2,0,0,0,0,2,0,2,1,2,"0","0","0","1","0","0",13mar2020,5,3,2020,13,"Gotland",0,,,,,,0,0,0,1,0,0
71,"Gotland",0,"2020-03-14",,0,0,0,2,0,0,0,0,2,0,2,1,2,"0","0","0","1","0","0",14mar2020,6,3,2020,14,"Gotland",0,,,,,,0,0,0,1,0,0
69,"Gotland",0,"2020-03-15",,0,0,0,2,0,0,0,0,2,0,2,1,2,"0","0","0","1","0","0",15mar2020,0,3,2020,15,"Gotland",0,,,,,,0,0,0,1,0,0
83,"Gotland",0,"2020-03-16",,0,0,0,2,0,0,0,0,2,1,2,1,2,"0","0","0","1","0","0",16mar2020,1,3,2020,16,"Gotland",0,,,,,,0,0,0,1,0,0
119,"Gotland",1,"2020-03-17",,0,0,0,2,0,0,0,0,2,1,2,1,2,"0","0","0","1","0","0",17mar2020,2,3,2020,17,"Gotland",0,,,,,,0,0,0,1,0,0
145,"Gotland",1,"2020-03-18",,1,0,0,2,0,0,0,0,2,1,2,1,2,"1","0","0","1","0","0",18mar2020,3,3,2020,18,"Gotland",0,,,,,,1,0,0,1,0,0
143,"Gotland",1,"2020-03-19",,1,0,0,2,0,0,0,3,2,1,2,1,2,"1","0","0","1","0","1",19mar2020,4,3,2020,19,"Gotland",0,,,,,,1,0,0,1,0,1
180,"Gotland",0,"2020-03-20",,1,0,0,2,0,0,0,3,2,1,2,1,2,"1","0","0","1","0","1",20mar2020,5,3,2020,20,"Gotland",0,,,,,,1,0,0,1,0,1
134,"Gotland",0,"2020-03-21",,1,0,0,2,0,0,0,3,2,1,2,1,2,"1","0","0","1","0","1",21mar2020,6,3,2020,21,"Gotland",0,,,,,,1,0,0,1,0,1
118,"Gotland",0,"2020-03-22",,1,0,0,2,0,0,0,3,2,1,2,1,2,"1","0","0","1","0","1",22mar2020,0,3,2020,22,"Gotland",0,,,,,,1,0,0,1,0,1
182,"Gotland",0,"2020-03-23",,1,0,0,2,0,0,0,3,2,1,2,1,1,"1","0","0","1","0","1",23mar2020,1,3,2020,23,"Gotland",0,,,,,,1,0,0,1,0,1
230,"Gotland",0,"2020-03-24",,1,0,0,2,0,0,0,3,2,1,2,1,1,"1","0","0","1","0","1",24mar2020,2,3,2020,24,"Gotland",0,,,,,,1,0,0,1,0,1
314,"Gotland",1,"2020-03-25",,1,1,0,2,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",25mar2020,3,3,2020,25,"Gotland",0,,,,,,1,1,0,1,0,1
286,"Gotland",4,"2020-03-26",10,1,1,0,2,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",26mar2020,4,3,2020,26,"Gotland",0,,,,,,1,1,0,1,0,1
365,"Gotland",1,"2020-03-27",11,1,1,0,2,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",27mar2020,5,3,2020,27,"Gotland",0,1,0,,,,1,1,0,1,0,1
300,"Gotland",0,"2020-03-28",11,1,1,0,2,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",28mar2020,6,3,2020,28,"Gotland",0,0,,,,,1,1,0,1,0,1
280,"Gotland",0,"2020-03-29",11,1,1,0,3,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",29mar2020,0,3,2020,29,"Gotland",0,0,,,,,1,1,0,1,0,1
416,"Gotland",0,"2020-03-30",11,1,1,0,3,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",30mar2020,1,3,2020,30,"Gotland",0,0,,,,,1,1,0,1,0,1
475,"Gotland",1,"2020-03-31",12,1,1,0,3,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",31mar2020,2,3,2020,31,"Gotland",0,1,0,,,,1,1,0,1,0,1
486,"Gotland",0,"2020-04-01",12,1,1,1,3,0,0,0,3,2,1,2,1,1,"1","1","1","1","0","1",01apr2020,3,4,2020,1,"Gotland",0,0,,,,,1,1,1,1,0,1
554,"Gotland",1,"2020-04-02",13,1,1,1,3,0,0,0,3,2,1,2,1,1,"1","1","1","1","0","1",02apr2020,4,4,2020,2,"Gotland",0,1,0,,,,1,1,1,1,0,1
601,"Gotland",1,"2020-04-03",14,1,1,1,3,0,0,0,3,2,1,2,1,1,"1","1","1","1","0","1",03apr2020,5,4,2020,3,"Gotland",0,1,0,0,,,1,1,1,1,0,1
357,"Gotland",0,"2020-04-04",14,1,1,1,3,0,0,1,3,2,1,2,1,1,"1","1","1","1","1","1",04apr2020,6,4,2020,4,"Gotland",0,0,,,,,1,1,1,1,1,1
340,"Gotland",0,"2020-04-05",14,1,1,1,3,0,0,1,3,2,1,2,1,1,"1","1","1","1","1","1",05apr2020,0,4,2020,5,"Gotland",0,0,,,,,1,1,1,1,1,1
389,"Gotland",0,"2020-04-06",14,1,1,1,3,0,0,1,3,2,1,2,1,1,"1","1","1","1","1","1",06apr2020,1,4,2020,6,"Gotland",0,0,,,,,1,1,1,1,1,1
30,"Gävleborg",0,"2020-03-04",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",04mar2020,3,3,2020,4,"Gävleborg",0,,,,,,0,0,0,0,0,0
25,"Gävleborg",0,"2020-03-05",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",05mar2020,4,3,2020,5,"Gävleborg",0,,,,,,0,0,0,0,0,0
59,"Gävleborg",2,"2020-03-06",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",06mar2020,5,3,2020,6,"Gävleborg",0,,,,,,0,0,0,0,0,0
33,"Gävleborg",0,"2020-03-07",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",07mar2020,6,3,2020,7,"Gävleborg",0,,,,,,0,0,0,0,0,0
46,"Gävleborg",0,"2020-03-08",,0,0,0,0,0,0,0,0,0,0,0,1,2,"0","0","0","0","0","0",08mar2020,0,3,2020,8,"Gävleborg",0,,,,,,0,0,0,0,0,0
101,"Gävleborg",0,"2020-03-09",,0,0,0,0,0,0,0,0,0,0,2,1,2,"0","0","0","0","0","0",09mar2020,1,3,2020,9,"Gävleborg",0,,,,,,0,0,0,0,0,0
98,"Gävleborg",0,"2020-03-10",,0,0,0,0,0,0,0,0,0,0,2,1,2,"0","0","0","0","0","0",10mar2020,2,3,2020,10,"Gävleborg",0,,,,,,0,0,0,0,0,0
196,"Gävleborg",1,"2020-03-11",,0,0,0,0,0,0,0,0,2,0,2,1,2,"0","0","0","0","0","0",11mar2020,3,3,2020,11,"Gävleborg",0,,,,,,0,0,0,0,0,0
151,"Gävleborg",2,"2020-03-12",,0,0,0,2,0,0,0,0,2,0,2,1,2,"0","0","0","1","0","0",12mar2020,4,3,2020,12,"Gävleborg",0,,,,,,0,0,0,1,0,0
152,"Gävleborg",1,"2020-03-13",,0,0,0,2,0,0,0,0,2,0,2,1,2,"0","0","0","1","0","0",13mar2020,5,3,2020,13,"Gävleborg",0,,,,,,0,0,0,1,0,0
71,"Gävleborg",1,"2020-03-14",,0,0,0,2,0,0,0,0,2,0,2,1,2,"0","0","0","1","0","0",14mar2020,6,3,2020,14,"Gävleborg",0,,,,,,0,0,0,1,0,0
69,"Gävleborg",0,"2020-03-15",,0,0,0,2,0,0,0,0,2,0,2,1,2,"0","0","0","1","0","0",15mar2020,0,3,2020,15,"Gävleborg",0,,,,,,0,0,0,1,0,0
83,"Gävleborg",2,"2020-03-16",,0,0,0,2,0,0,0,0,2,1,2,1,2,"0","0","0","1","0","0",16mar2020,1,3,2020,16,"Gävleborg",0,,,,,,0,0,0,1,0,0
119,"Gävleborg",4,"2020-03-17",13,0,0,0,2,0,0,0,0,2,1,2,1,2,"0","0","0","1","0","0",17mar2020,2,3,2020,17,"Gävleborg",0,,,,,,0,0,0,1,0,0
145,"Gävleborg",2,"2020-03-18",15,1,0,0,2,0,0,0,0,2,1,2,1,2,"1","0","0","1","0","0",18mar2020,3,3,2020,18,"Gävleborg",0,2,.6931472,,,,1,0,0,1,0,0
143,"Gävleborg",0,"2020-03-19",15,1,0,0,2,0,0,0,3,2,1,2,1,2,"1","0","0","1","0","1",19mar2020,4,3,2020,19,"Gävleborg",0,0,,,,,1,0,0,1,0,1
180,"Gävleborg",5,"2020-03-20",20,1,0,0,2,0,0,0,3,2,1,2,1,2,"1","0","0","1","0","1",20mar2020,5,3,2020,20,"Gävleborg",0,5,1.609438,,,,1,0,0,1,0,1
134,"Gävleborg",4,"2020-03-21",24,1,0,0,2,0,0,0,3,2,1,2,1,2,"1","0","0","1","0","1",21mar2020,6,3,2020,21,"Gävleborg",0,4,1.386294,,,,1,0,0,1,0,1
118,"Gävleborg",0,"2020-03-22",24,1,0,0,2,0,0,0,3,2,1,2,1,2,"1","0","0","1","0","1",22mar2020,0,3,2020,22,"Gävleborg",0,0,,,,,1,0,0,1,0,1
182,"Gävleborg",3,"2020-03-23",27,1,0,0,2,0,0,0,3,2,1,2,1,1,"1","0","0","1","0","1",23mar2020,1,3,2020,23,"Gävleborg",0,3,1.098612,,,,1,0,0,1,0,1
230,"Gävleborg",5,"2020-03-24",32,1,0,0,2,0,0,0,3,2,1,2,1,1,"1","0","0","1","0","1",24mar2020,2,3,2020,24,"Gävleborg",0,5,1.609438,.5108256,,,1,0,0,1,0,1
314,"Gävleborg",7,"2020-03-25",39,1,1,0,2,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",25mar2020,3,3,2020,25,"Gävleborg",0,7,1.94591,.3364722,,,1,1,0,1,0,1
286,"Gävleborg",5,"2020-03-26",44,1,1,0,2,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",26mar2020,4,3,2020,26,"Gävleborg",0,5,1.609438,,,,1,1,0,1,0,1
365,"Gävleborg",9,"2020-03-27",53,1,1,0,2,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",27mar2020,5,3,2020,27,"Gävleborg",0,9,2.197225,.5877867,,,1,1,0,1,0,1
300,"Gävleborg",12,"2020-03-28",65,1,1,0,2,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",28mar2020,6,3,2020,28,"Gävleborg",0,12,2.484907,.2876821,,,1,1,0,1,0,1
280,"Gävleborg",11,"2020-03-29",76,1,1,0,3,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",29mar2020,0,3,2020,29,"Gävleborg",0,11,2.397895,,,,1,1,0,1,0,1
416,"Gävleborg",10,"2020-03-30",86,1,1,0,3,0,0,0,3,2,1,2,1,1,"1","1","0","1","0","1",30mar2020,1,3,2020,30,"Gävleborg",0,10,2.302585,,,,1,1,0,1,0,1
