bundesland,refdatum,case_count,adm1_name,date,cum_confirmed_cases,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,home_isolation,travel_ban_local,travel_ban_intl,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,sample_avg,day_avg,p_ger_1,p_ger_2,p_ger_3,p_ger_4,p_ger_5,p_ger_6,p_ger_7
"Berlin","2020/02/24 00:00:00",1,"Berlin","2020-02-24",,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,24feb2020,1,2,2020,24,"Berlin",0,,,,,,0,0,0,0,0,0,0
"Berlin","2020/02/25 00:00:00",3,"Berlin","2020-02-25",,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,25feb2020,2,2,2020,25,"Berlin",0,,,,,,0,0,0,0,0,0,0
"Berlin","2020/02/26 00:00:00",2,"Berlin","2020-02-26",,"2","0","0","0","0","0","0","0","0","0","2","1","2",1,0,0,0,0,0,0,26feb2020,3,2,2020,26,"Berlin",0,,,,,,1,0,0,0,0,0,0
"Berlin","2020/02/27 00:00:00",5,"Berlin","2020-02-27",14,"2","0","0","0","0","0","0","0","0","0","2","1","2",1,0,0,0,0,0,0,27feb2020,4,2,2020,27,"Berlin",0,,,,,,1,0,0,0,0,0,0
"Berlin","2020/02/28 00:00:00",9,"Berlin","2020-02-28",23,"2","0","0","0","0","0","0","1","0","0","2","1","2",1,0,0,0,0,0,1,28feb2020,5,2,2020,28,"Berlin",0,9,2.197225,,,,1,0,0,0,0,0,1
"Berlin","2020/02/29 00:00:00",7,"Berlin","2020-02-29",30,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,29feb2020,6,2,2020,29,"Berlin",0,7,1.94591,,,,1,0,1,0,0,0,1
"Berlin","2020/03/01 00:00:00",15,"Berlin","2020-03-01",45,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,01mar2020,0,3,2020,1,"Berlin",0,15,2.70805,.7621402,,,1,0,1,0,0,0,1
"Berlin","2020/03/02 00:00:00",21,"Berlin","2020-03-02",66,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,02mar2020,1,3,2020,2,"Berlin",0,21,3.044523,.3364723,,,1,0,1,0,0,0,1
"Berlin","2020/03/03 00:00:00",20,"Berlin","2020-03-03",86,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,03mar2020,2,3,2020,3,"Berlin",0,20,2.995732,,,,1,0,1,0,0,0,1
"Berlin","2020/03/04 00:00:00",30,"Berlin","2020-03-04",116,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,04mar2020,3,3,2020,4,"Berlin",0,30,3.401197,.4054651,,,1,0,1,0,0,0,1
"Berlin","2020/03/05 00:00:00",25,"Berlin","2020-03-05",141,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,05mar2020,4,3,2020,5,"Berlin",0,25,3.218876,,,,1,0,1,0,0,0,1
