Datum,Provincienaam,Aantal,date,adm1_name,cum_confirmed_cases,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,home_isolation,travel_ban_local,travel_ban_intl
2020-03-11,Friesland,3,2020-03-11,Friesland,5,0,0,2,0,0,1,0,0,0,0,2,1,2,0,0,1,0,1,0,0
2020-03-12,Friesland,6,2020-03-12,Friesland,11,1,1,2,3,0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0
2020-03-13,Friesland,7,2020-03-13,Friesland,18,1,1,2,3,0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0
2020-03-14,Friesland,8,2020-03-14,Friesland,26,1,1,2,3,0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0
2020-03-15,Friesland,10,2020-03-15,Friesland,36,1,3,2,3,0,1,1,0,0,0,2,1,1,1,1,1,1,1,1,0
2020-03-16,Friesland,13,2020-03-16,Friesland,49,3,3,2,3,0,1,1,0,0,0,2,1,1,1,1,1,1,1,1,0
2020-03-17,Friesland,14,2020-03-17,Friesland,63,3,3,2,3,0,1,1,0,2,0,2,1,1,1,1,1,1,1,1,0
2020-03-18,Friesland,18,2020-03-18,Friesland,81,3,3,2,3,0,1,1,0,2,0,2,1,1,1,1,1,1,1,1,0
2020-03-19,Friesland,20,2020-03-19,Friesland,101,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-20,Friesland,22,2020-03-20,Friesland,123,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-21,Friesland,33,2020-03-21,Friesland,156,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-22,Friesland,34,2020-03-22,Friesland,190,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-23,Friesland,39,2020-03-23,Friesland,229,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-24,Friesland,41,2020-03-24,Friesland,270,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-25,Friesland,51,2020-03-25,Friesland,321,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-26,Friesland,68,2020-03-26,Friesland,389,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-27,Friesland,81,2020-03-27,Friesland,470,3,3,2,3,0,2,1,3,2,0,2,1,1,1,1,1,1,1,1,1
2020-03-28,Friesland,96,2020-03-28,Friesland,566,3,3,2,3,0,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-03-29,Friesland,118,2020-03-29,Friesland,684,3,3,2,3,0,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-03-30,Friesland,123,2020-03-30,Friesland,807,3,3,2,3,0,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-03-31,Friesland,130,2020-03-31,Friesland,937,3,3,2,3,1,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-04-01,Friesland,144,2020-04-01,Friesland,1081,3,3,2,3,1,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1
2020-03-04,Gelderland,1,2020-03-04,Gelderland,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2020-03-05,Gelderland,2,2020-03-05,Gelderland,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2020-03-06,Gelderland,10,2020-03-06,Gelderland,13,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0
2020-03-07,Gelderland,13,2020-03-07,Gelderland,26,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0
2020-03-08,Gelderland,26,2020-03-08,Gelderland,52,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0
2020-03-09,Gelderland,27,2020-03-09,Gelderland,79,0,0,0,0,0,1,0,0,0,0,2,1,2,0,0,0,0,1,0,0
2020-03-10,Gelderland,30,2020-03-10,Gelderland,109,0,0,2,0,0,1,0,0,0,0,2,1,2,0,0,1,0,1,0,0
2020-03-11,Gelderland,36,2020-03-11,Gelderland,145,0,0,2,0,0,1,0,0,0,0,2,1,2,0,0,1,0,1,0,0
2020-03-12,Gelderland,48,2020-03-12,Gelderland,193,1,1,2,3,0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0
2020-03-13,Gelderland,64,2020-03-13,Gelderland,257,1,1,2,3,0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0
2020-03-14,Gelderland,76,2020-03-14,Gelderland,333,1,1,2,3,0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0
2020-03-15,Gelderland,100,2020-03-15,Gelderland,433,1,3,2,3,0,1,1,0,0,0,2,1,1,1,1,1,1,1,1,0
